"Structure","P_Level","N_S","N_M","N_L"
"Uniform Small",94,0,0,0
"Uniform Medium",94,0,0,0
"Uniform Large",94,0,0,0
"Equal",94,0,0,0
"Small Skewed",94,0,0,0
"Uniform Small",95,0,0,0
"Uniform Medium",95,0,0,0
"Uniform Large",95,0,0,0
"Equal",95,0,0,0
"Small Skewed",95,0,0,0
"Uniform Small",96,0,0,0
"Uniform Medium",96,0,0,0
"Uniform Large",96,0,0,0
"Equal",96,0,0,0
"Small Skewed",96,0,0,0
"Uniform Small",97,0,0,0
"Uniform Medium",97,0,0,0
"Uniform Large",97,0,0,0
"Equal",97,0,0,0
"Small Skewed",97,0,0,0
"Uniform Small",98,0,0,0
"Uniform Medium",98,0,0,0
"Uniform Large",98,0,0,0
"Equal",98,0,0,0
"Small Skewed",98,0,0,0
"Uniform Small",99,0,0,0
"Uniform Medium",99,0,0,0
"Uniform Large",99,0,0,0
"Equal",99,0,0,0
"Small Skewed",99,0,0,0
"Uniform Small",100,0,0,0
"Uniform Medium",100,0,0,0
"Uniform Large",100,0,0,0
"Equal",100,0,0,0
"Small Skewed",100,0,0,0
"Uniform Small",101,0,0,0
"Uniform Medium",101,0,0,0
"Uniform Large",101,0,0,0
"Equal",101,0,0,0
"Small Skewed",101,0,0,0
"Uniform Small",102,0,0,0
"Uniform Medium",102,0,0,0
"Uniform Large",102,0,0,0
"Equal",102,0,0,0
"Small Skewed",102,0,0,0
"Uniform Small",103,0,0,0
"Uniform Medium",103,0,0,0
"Uniform Large",103,0,0,0
"Equal",103,0,0,0
"Small Skewed",103,0,0,0
"Uniform Small",104,0,0,0
"Uniform Medium",104,0,0,0
"Uniform Large",104,0,0,0
"Equal",104,0,0,0
"Small Skewed",104,0,0,0
"Uniform Small",105,0,0,0
"Uniform Medium",105,0,0,0
"Uniform Large",105,0,0,0
"Equal",105,0,0,0
"Small Skewed",105,0,0,0
"Uniform Small",106,0,0,0
"Uniform Medium",106,0,0,0
"Uniform Large",106,0,0,0
"Equal",106,0,0,0
"Small Skewed",106,0,0,0
"Uniform Small",107,0,0,0
"Uniform Medium",107,0,0,0
"Uniform Large",107,0,0,0
"Equal",107,0,0,0
"Small Skewed",107,0,0,0
"Uniform Small",108,0,0,0
"Uniform Medium",108,0,0,0
"Uniform Large",108,0,0,0
"Equal",108,0,0,0
"Small Skewed",108,0,0,0
"Uniform Small",109,0,0,0
"Uniform Medium",109,0,0,0
"Uniform Large",109,0,0,0
"Equal",109,0,0,0
"Small Skewed",109,0,0,0
"Uniform Small",110,0,0,0
"Uniform Medium",110,0,0,0
"Uniform Large",110,0,0,0
"Equal",110,0,0,0
"Small Skewed",110,0,0,0
"Uniform Small",111,0,0,0
"Uniform Medium",111,0,0,0
"Uniform Large",111,0,0,0
"Equal",111,0,0,0
"Small Skewed",111,0,0,0
"Uniform Small",112,0,0,0
"Uniform Medium",112,0,0,0
"Uniform Large",112,0,0,0
"Equal",112,0,0,0
"Small Skewed",112,0,0,0
"Uniform Small",113,0,0,0
"Uniform Medium",113,0,0,0
"Uniform Large",113,0,0,0
"Equal",113,0,0,0
"Small Skewed",113,0,0,0
"Uniform Small",114,0,0,0
"Uniform Medium",114,0,0,0
"Uniform Large",114,0,0,0
"Equal",114,0,0,0
"Small Skewed",114,0,0,0
"Uniform Small",115,0,0,0
"Uniform Medium",115,0,0,0
"Uniform Large",115,0,0,0
"Equal",115,0,0,0
"Small Skewed",115,0,0,0
"Uniform Small",116,0,0,0
"Uniform Medium",116,0,0,0
"Uniform Large",116,0,0,0
"Equal",116,0,0,0
"Small Skewed",116,0,0,0
"Uniform Small",117,0,0,0
"Uniform Medium",117,0,0,0
"Uniform Large",117,0,0,0
"Equal",117,0,0,0
"Small Skewed",117,0,0,0
"Uniform Small",118,0,0,0
"Uniform Medium",118,0,0,0
"Uniform Large",118,0,0,0
"Equal",118,0,0,0
"Small Skewed",118,0,0,0
"Uniform Small",119,0,0,0
"Uniform Medium",119,0,0,0
"Uniform Large",119,0,0,0
"Equal",119,0,0,0
"Small Skewed",119,0,0,0
"Uniform Small",120,0,0,0
"Uniform Medium",120,0,0,0
"Uniform Large",120,0,0,0
"Equal",120,0,0,0
"Small Skewed",120,0,0,0
"Uniform Small",121,0,0,0
"Uniform Medium",121,0,0,0
"Uniform Large",121,0,0,0
"Equal",121,0,0,0
"Small Skewed",121,0,0,0
"Uniform Small",122,0,0,0
"Uniform Medium",122,0,0,0
"Uniform Large",122,0,0,0
"Equal",122,0,0,0
"Small Skewed",122,0,0,0
"Uniform Small",123,0,0,0
"Uniform Medium",123,0,0,0
"Uniform Large",123,0,0,0
"Equal",123,0,0,0
"Small Skewed",123,0,0,0
"Uniform Small",124,0,0,0
"Uniform Medium",124,0,0,0
"Uniform Large",124,0,0,0
"Equal",124,0,0,0
"Small Skewed",124,0,0,0
"Uniform Small",125,0,0,0
"Uniform Medium",125,0,0,0
"Uniform Large",125,0,0,0
"Equal",125,0,0,0
"Small Skewed",125,0,0,0
"Uniform Small",126,0,0,0
"Uniform Medium",126,0,0,0
"Uniform Large",126,0,0,0
"Equal",126,0,0,0
"Small Skewed",126,0,0,0
"Uniform Small",127,0,0,0
"Uniform Medium",127,0,0,0
"Uniform Large",127,0,0,0
"Equal",127,0,0,0
"Small Skewed",127,0,0,0
"Uniform Small",128,0,0,0
"Uniform Medium",128,0,0,0
"Uniform Large",128,0,0,0
"Equal",128,0,0,0
"Small Skewed",128,0,0,0
"Uniform Small",129,0,0,0
"Uniform Medium",129,0,0,0
"Uniform Large",129,0,0,0
"Equal",129,0,0,0
"Small Skewed",129,0,0,0
"Uniform Small",130,0,0,0
"Uniform Medium",130,0,0,0
"Uniform Large",130,0,0,0
"Equal",130,0,0,0
"Small Skewed",130,0,0,0
"Uniform Small",131,0,0,0
"Uniform Medium",131,0,0,0
"Uniform Large",131,0,0,0
"Equal",131,0,0,0
"Small Skewed",131,0,0,0
"Uniform Small",132,0,0,0
"Uniform Medium",132,0,0,0
"Uniform Large",132,0,0,0
"Equal",132,0,0,0
"Small Skewed",132,0,0,0
"Uniform Small",133,0,0,0
"Uniform Medium",133,0,0,0
"Uniform Large",133,0,0,0
"Equal",133,0,0,0
"Small Skewed",133,0,0,0
"Uniform Small",134,0,0,0
